name,#,wpm,accuracy,raw,date,consistency
limkuancheng,707,199.17,100.00%,199.17,89.50%,21 Oct 2023,07:04
SpongeNub,708,199.17,100.00%,199.17,91.83%,28 Aug 2023,21:40
vorados,709,199.17,100.00%,199.17,89.05%,04 Jun 2021,10:28
InfusedParticle,710,199.17,97.30%,207.16,91.96%,07 Nov 2023,15:31
arman2435,711,199.17,84.75%,234.37,4.70%,03 Feb 2021,20:35
Alycks,712,199.16,100.00%,199.16,91.54%,09 Nov 2023,13:38
itsgenome,713,199.12,100.00%,199.12,90.72%,18 Nov 2023,21:36
amaru,714,199.12,100.00%,199.12,90.98%,05 Mar 2021,14:57
Solaror,715,199.11,100.00%,199.11,89.05%,26 Sep 2023,21:19
Apple23,716,199.11,98.05%,203.11,86.39%,27 Sep 2023,01:28
valoronions,717,199.11,95.22%,217.50,0.25%,22 Feb 2021,14:27
HOOTHOOT69,718,199.10,100.00%,199.10,86.12%,16 Dec 2023,09:16
key,719,199.09,100.00%,199.09,91.26%,05 Aug 2021,21:56
SunGame7,720,199.07,100.00%,199.07,89.05%,24 May 2023,17:25
lostdinosaurs,721,199.07,100.00%,199.07,91.54%,04 Apr 2023,20:05
SamLP23,722,199.07,100.00%,199.07,93.86%,17 Jan 2023,20:32
Barbo,723,199.07,100.00%,199.07,88.61%,28 Feb 2022,01:27
Marcongu,724,199.07,99.21%,201.47,90.48%,12 Mar 2022,17:48
rickxz,725,199.07,99.20%,199.07,88.56%,18 Nov 2021,13:59
clap,726,199.07,98.82%,203.06,81.39%,23 Oct 2022,21:45
HungryPanduh,727,199.07,98.46%,207.86,89.97%,22 Apr 2023,04:07
Dreamy.Night,728,199.07,95.44%,204.66,84.30%,04 Feb 2023,01:28
qbst,729,199.03,97.67%,206.22,87.23%,20 Jul 2021,13:51
thom,730,199.01,99.60%,202.21,88.37%,06 Mar 2021,13:56
thegreatredfox,731,198.74,100.00%,198.74,89.73%,28 Nov 2023,12:31
kaneki701,732,198.40,100.00%,198.40,93.06%,20 Jun 2023,05:58
glbve,733,198.40,100.00%,198.40,88.99%,12 Apr 2023,13:19
RyanPham100,734,198.40,100.00%,198.40,90.41%,28 Apr 2022,03:19
justin_kolaras,735,198.40,100.00%,198.40,91.78%,31 Mar 2022,01:23
pinguefy,736,198.40,100.00%,198.40,92.72%,19 Oct 2020,23:27
pend,737,198.40,98.80%,200.80,84.97%,28 Jul 2022,10:04
Samadou101,738,198.40,96.92%,208.00,91.66%,17 Jul 2023,12:53
grayonout,739,198.39,98.43%,198.39,-,15 Jan 2021,06:40
Jumplify,740,198.37,99.60%,198.37,87.21%,16 Nov 2023,15:25
nezf,741,198.35,100.00%,198.35,88.34%,28 Oct 2023,17:48
reptiliqua,742,198.35,99.60%,200.75,90.88%,18 Aug 2023,18:00
WatchedDogGod,743,198.35,98.81%,202.35,86.86%,15 Aug 2023,15:07
zuxz,744,198.35,98.81%,202.35,91.94%,06 Aug 2023,10:49
tankmaster48,745,198.34,96.21%,210.33,87.59%,08 Nov 2023,00:22
whoiskai,746,198.31,100.00%,198.31,85.71%,09 Nov 2023,02:19
SimplyBetter,747,198.31,96.89%,203.11,62.14%,16 Oct 2023,20:07
colamek,748,198.30,97.70%,208.69,92.20%,18 Nov 2023,00:45
Arcus,749,198.27,100.00%,198.27,91.20%,19 Jul 2023,00:18
wjdnWmdnl,750,198.27,100.00%,198.27,89.44%,20 Feb 2023,09:32
wjdnWmdnl,750,198.27,100.00%,198.27,89.44%,20 Feb 2023,09:32
mkop,751,198.27,100.00%,198.27,88.34%,12 Dec 2022,19:28
km4chine,752,198.27,100.00%,198.27,93.06%,30 Nov 2022,22:10
ElliottWE,753,198.27,100.00%,198.27,89.67%,04 Oct 2022,13:33
nav,754,198.27,100.00%,198.27,87.73%,09 Aug 2022,13:56
cake0,755,198.27,100.00%,198.27,88.13%,03 May 2022,05:00
Benjamaster7,756,198.27,99.20%,198.27,82.66%,05 May 2023,23:40
vegettable,757,198.27,98.81%,202.27,85.50%,05 Jan 2023,11:10
giovvah,758,198.27,96.96%,210.26,93.46%,14 Aug 2022,09:40
matias_duarte,759,198.27,95.49%,212.66,91.39%,06 Sep 2022,12:35
UTF8,760,198.24,100.00%,198.24,86.77%,20 Dec 2023,07:29
TheClockKing,761,198.24,98.06%,203.84,4.17%,19 Dec 2020,00:38
WarrenSiow,762,198.00,98.46%,207.58,84.86%,07 Jun 2023,10:31
dante_vieyra,763,197.87,100.00%,203.46,92.05%,06 Apr 2023,10:04
sendan,764,197.73,100.00%,197.73,45.24%,03 May 2022,09:41
BlackMonkee,765,197.60,100.00%,197.60,90.37%,25 Jun 2023,14:17
yyuii,766,197.60,100.00%,197.60,88.29%,09 Jun 2023,03:15
paigerenee,767,197.60,100.00%,197.60,92.36%,02 Apr 2023,21:24
TypingPenguin,768,197.60,100.00%,197.60,89.17%,28 Feb 2023,13:41
heyimquack,769,197.60,100.00%,197.60,94.19%,11 Dec 2022,03:23
glucosel,770,197.60,100.00%,197.60,94.63%,13 Oct 2022,08:41
truesku,771,197.60,100.00%,197.60,86.72%,22 Jul 2022,23:50
leoldlion,772,197.60,100.00%,197.60,90.37%,03 Nov 2021,20:39
bup,773,197.60,99.60%,199.20,88.20%,15 Oct 2022,00:56
dijkstraa,774,197.60,98.81%,202.40,92.86%,22 Aug 2022,00:04
TooCool,775,197.60,96.89%,205.60,89.59%,07 Mar 2023,05:43
Coder100,776,197.59,100.00%,197.59,95.11%,04 Sep 2023,11:40
Antonio32A,777,197.59,100.00%,197.59,0.01%,01 Mar 2021,17:37
bdinh,778,197.57,100.00%,197.57,92.05%,07 Oct 2023,03:08
Marceroo,779,197.57,100.00%,197.57,88.72%,02 Oct 2023,13:05
speed_type1,780,197.57,95.88%,212.77,89.50%,24 Sep 2023,09:21
Jabushdowhepro,781,197.56,98.02%,201.56,92.41%,13 Oct 2023,12:50
Art3mis647,782,197.55,100.00%,197.55,92.69%,11 Dec 2023,08:17
alieb,783,197.55,98.81%,202.35,91.65%,23 Feb 2021,18:05
Xaeven,784,197.51,96.18%,209.50,93.43%,24 Aug 2023,11:59
778,785,197.49,98.82%,203.09,83.65%,25 Nov 2023,22:41
galaxeo,786,197.47,100.00%,197.47,92.05%,19 Sep 2023,01:06
bretz2k,787,197.47,100.00%,197.47,90.12%,10 Jul 2023,18:33
Windyreed,788,197.47,100.00%,197.47,88.09%,02 May 2023,17:46
XeroxHood,789,197.47,100.00%,197.47,90.89%,11 Oct 2022,11:29
anishs37,790,197.47,100.00%,197.47,85.31%,27 Jul 2022,14:03
aru1aru,791,197.47,100.00%,197.47,88.51%,07 Mar 2022,15:10
intwhale,792,197.47,100.00%,197.47,90.12%,17 Jan 2022,12:07
juicetin,793,197.47,100.00%,197.47,88.29%,28 Nov 2021,22:19
altrocality,794,197.47,99.61%,203.06,90.99%,17 Jul 2023,08:34
HotFlavor,795,197.47,99.60%,197.47,42.73%,03 Mar 2022,12:03
Yogitpro,796,197.47,99.20%,197.47,84.48%,04 Dec 2022,10:36
Tringe,797,197.47,98.81%,201.47,90.23%,16 Dec 2022,14:36
genthru,798,197.35,98.81%,202.14,88.37%,15 Dec 2020,20:07
serpentes,799,197.34,99.60%,197.34,77.48%,14 Mar 2023,16:32
Dipslox,800,197.26,100.00%,197.26,89.87%,09 Nov 2023,12:28
Dipslox,800,197.26,100.00%,197.26,89.87%,09 Nov 2023,12:28
crustypenuts,801,197.11,97.63%,201.90,88.37%,08 Sep 2023,16:45
cambirkby,802,196.80,100.00%,196.80,90.09%,12 Jun 2023,14:05
uDyn,803,196.80,100.00%,196.80,87.85%,02 Dec 2022,21:57
Zapakh,804,196.80,100.00%,196.80,85.43%,31 Jan 2022,00:31
jaredlcs,805,196.80,99.60%,197.60,89.40%,29 Jun 2023,18:28
Rakuu,806,196.80,99.20%,199.20,94.70%,13 May 2023,23:51
cartelet,807,196.80,99.20%,200.80,89.89%,13 Dec 2022,23:11
cayden,808,196.80,99.19%,196.80,86.77%,12 Jun 2023,01:00
EpochPirate,809,196.80,98.81%,202.40,89.42%,18 Nov 2022,12:49
kanfoti,810,196.80,98.80%,200.80,90.88%,13 Aug 2022,00:23
BobTheBurger,811,196.80,98.80%,200.80,92.94%,12 Jun 2022,22:06
stinkyface22,812,196.78,97.28%,205.58,88.55%,18 Sep 2023,23:17
yw,813,196.77,100.00%,196.77,89.14%,22 Sep 2023,23:17
Hi_im_Elfo,814,196.77,100.00%,196.77,92.35%,18 Jan 2021,15:04
1248.exe,815,196.77,98.80%,199.97,91.90%,10 Sep 2023,22:50
dmaa,816,196.77,97.65%,201.57,84.07%,22 Dec 2023,03:35
CheckItFace,817,196.76,100.00%,196.76,92.35%,05 Nov 2023,00:44
EnigmaticOasis,818,196.76,100.00%,196.76,93.03%,03 Nov 2023,23:28
Louise_Akaaaa,819,196.76,100.00%,196.76,94.19%,17 Aug 2023,21:11
moppr,820,196.76,100.00%,196.76,91.15%,12 Aug 2023,21:24
chris4315,821,196.76,100.00%,196.76,90.35%,25 Nov 2020,14:53
daikon-kun,822,196.75,100.00%,196.75,89.37%,27 Sep 2023,12:33
bmpomo,823,196.74,99.19%,196.74,88.77%,01 Jul 2021,15:46
shebov3,824,196.69,98.81%,201.49,90.73%,21 Dec 2023,06:38
2200,825,196.68,98.04%,203.07,87.66%,20 Mar 2021,21:33
Discro,826,196.67,100.00%,196.67,92.35%,19 May 2023,11:13
soda_drink,827,196.67,100.00%,196.67,88.26%,09 Feb 2023,08:52
zealody,828,196.67,100.00%,196.67,92.03%,25 Nov 2022,20:40
DaBigOne,829,196.67,100.00%,196.67,88.91%,16 Apr 2022,19:10
steeldaggerx,830,196.67,100.00%,196.67,91.15%,14 Dec 2021,20:39
nevz,831,196.67,99.60%,196.67,86.54%,04 Jun 2023,20:51
lilcoomie,832,196.67,99.60%,198.27,91.78%,06 Dec 2022,19:25
rivehr,833,196.67,98.80%,200.67,88.15%,05 Nov 2022,12:21
14.AVH,834,196.67,97.66%,204.66,88.79%,05 Oct 2022,14:27
klokkismann,835,196.67,97.66%,200.67,77.72%,28 Dec 2021,11:53
Jack.Li,836,196.63,100.00%,196.63,87.64%,15 Nov 2023,19:59
SafetyCar,837,196.62,100.00%,196.62,90.35%,28 Jan 2021,03:00
pobbers,838,196.55,98.43%,203.74,90.39%,13 Sep 2023,16:20
KShouko,839,196.28,97.28%,205.05,91.78%,10 Jan 2023,20:54
zackqi,840,196.00,100.00%,196.00,85.57%,17 Dec 2023,04:03
dzzzr,841,196.00,100.00%,196.00,89.36%,07 Sep 2023,19:59
Lort,842,196.00,100.00%,196.00,93.05%,25 Jun 2023,20:34
Sluis,843,196.00,100.00%,196.00,91.44%,06 Jun 2023,12:26
MonkqS,844,196.00,100.00%,196.00,90.87%,25 May 2023,10:14
IkeaMarkus,845,196.00,100.00%,196.00,91.74%,17 Dec 2022,19:39
davidoli,846,196.00,100.00%,196.00,89.36%,02 Dec 2022,20:09
chem1kal,847,196.00,100.00%,196.00,64.06%,14 Nov 2021,07:50
surelyred,848,196.00,99.59%,196.80,87.64%,19 Nov 2021,13:32
dkmplz,849,196.00,99.59%,196.00,88.26%,20 Oct 2020,11:04
heart,850,196.00,99.20%,200.00,93.19%,29 Oct 2022,22:13
heart,850,196.00,99.20%,200.00,93.19%,29 Oct 2022,22:13
chroma,851,196.00,99.19%,196.00,87.10%,10 Jul 2022,03:24
Vinpho,852,196.00,98.82%,203.20,89.78%,28 Jul 2022,19:58
vision.,853,196.00,98.80%,200.80,89.21%,27 Aug 2021,08:57
UltraInstinct,854,196.00,98.06%,206.40,89.77%,13 Feb 2023,17:20
xryoth,855,195.99,100.00%,195.99,92.70%,23 Sep 2023,22:50
NSYL23,856,195.99,94.78%,214.39,91.86%,10 Oct 2023,07:19
spergus,857,195.98,97.64%,202.38,90.01%,25 Jan 2021,09:02
HsuehTete,858,195.98,94.53%,219.17,90.74%,15 Dec 2023,15:20
Txky0,859,195.97,100.00%,195.97,94.23%,17 Dec 2023,07:26
script303,860,195.96,98.04%,203.96,90.64%,24 Sep 2023,22:06
burntboy,861,195.95,100.00%,195.95,92.70%,19 Nov 2023,00:37
GamingPanda,862,195.95,100.00%,195.95,88.90%,02 Oct 2023,15:00
wolke,863,195.95,100.00%,195.95,92.36%,30 Jul 2021,12:32
gohyuchen,864,195.95,99.60%,202.35,89.88%,04 Oct 2023,05:46
oicuraqt,865,195.95,98.80%,199.95,92.20%,06 Dec 2023,10:19
Ballooney,866,195.93,100.00%,195.93,90.34%,06 Aug 2023,22:42
astrovero,867,195.91,100.00%,195.91,89.59%,21 Sep 2023,20:31
MintedBook,868,195.90,93.57%,223.89,89.17%,04 Aug 2023,17:58
chanden,869,195.89,100.00%,195.89,90.34%,15 Dec 2020,20:31
Jasiuo,870,195.89,99.60%,199.89,91.90%,23 Nov 2023,09:20
RandomPerson339,871,195.87,100.00%,195.87,70.20%,27 Jun 2023,01:38
aftrashcan,872,195.87,100.00%,195.87,88.24%,26 Jun 2023,00:57
DizzyDagem,873,195.87,100.00%,195.87,94.23%,14 May 2023,09:43
abullah_ui,874,195.87,100.00%,195.87,91.44%,06 May 2023,09:49
trumpdet_doot,875,195.87,100.00%,195.87,93.05%,06 Jan 2023,19:21
consequence,876,195.87,100.00%,195.87,88.90%,07 Dec 2022,14:38
justinxu,877,195.87,100.00%,195.87,90.87%,16 Jul 2022,01:52
ridafkih,878,195.87,100.00%,195.87,90.34%,23 Mar 2022,21:33
kameo,879,195.87,100.00%,195.87,92.36%,12 Feb 2022,03:39
legac3e,880,195.87,100.00%,195.87,91.44%,11 Oct 2020,22:21
Plutox,881,195.87,99.19%,195.87,82.14%,18 Dec 2023,07:14
identify,882,195.87,98.81%,202.27,87.40%,10 Dec 2022,19:00
ssshanto,883,195.87,98.80%,199.07,89.73%,30 May 2022,16:44
NoOneAsked,884,195.87,98.03%,202.27,80.66%,03 Mar 2023,15:40
austinc4545,885,195.87,97.65%,203.86,90.16%,08 May 2023,15:51
amog,886,195.87,97.25%,203.86,92.26%,05 Sep 2021,07:13
ayush-a2030,887,195.87,97.22%,200.67,50.01%,06 Nov 2022,06:34
TheEclipse,888,195.86,98.81%,201.45,88.46%,23 Oct 2023,03:39
asianpieman14,889,195.84,98.41%,200.64,55.62%,17 Jul 2021,20:21
Schzle,890,195.78,96.92%,207.76,87.60%,02 Dec 2023,20:06
SSHanta,891,195.74,100.00%,195.74,91.74%,15 Jul 2023,16:59
Psylo,892,195.74,99.59%,195.74,86.49%,20 Sep 2021,04:14
miyakejima,893,195.74,96.92%,207.72,91.66%,27 Sep 2022,05:05
s_tisfaction,894,195.74,96.50%,205.33,89.81%,20 May 2022,14:44
DaRealRayRay,895,195.69,98.80%,200.49,72.79%,22 Oct 2023,15:02
jasim,896,195.61,99.60%,199.60,88.48%,08 Jul 2023,11:43
LuckyLuciano,897,195.20,100.00%,195.20,90.89%,08 Jun 2023,02:39
deannawong,898,195.20,100.00%,195.20,91.17%,18 Mar 2023,21:04
Dominus,899,195.20,100.00%,195.20,90.89%,07 Mar 2023,15:29
tuanh714,900,195.20,100.00%,195.20,93.09%,04 Feb 2023,00:05
tuanh714,900,195.20,100.00%,195.20,93.09%,04 Feb 2023,00:05
youei,901,195.20,100.00%,195.20,90.10%,01 Nov 2022,13:17
terrurist,902,195.20,100.00%,195.20,94.29%,23 Oct 2022,22:42
chowster,903,195.20,100.00%,195.20,88.67%,17 Sep 2022,17:13
ehtylno,904,195.20,100.00%,195.20,90.10%,04 Nov 2021,08:05
fattyfry777,905,195.20,99.59%,195.20,90.34%,11 Aug 2022,22:50
burrito1,906,195.20,97.27%,204.80,90.81%,18 Dec 2022,01:10
arnoldhnguyen,907,195.20,97.24%,203.20,85.95%,16 Aug 2022,15:07
Grape988,908,195.20,96.88%,204.80,89.20%,21 Oct 2022,02:52
in238z,909,195.20,95.29%,220.80,91.63%,14 Dec 2022,10:13
Gqbber,910,195.19,100.00%,195.19,89.13%,28 Nov 2023,09:01
akodyn,911,195.19,92.91%,223.99,-,25 Dec 2020,20:26
Pander,912,195.18,100.00%,195.18,90.89%,17 Dec 2023,21:00
ruey_,913,195.18,100.00%,195.18,90.62%,29 Nov 2023,23:15
alvinlimzr,914,195.18,100.00%,195.18,91.76%,24 Nov 2023,04:40
wakcy,915,195.18,99.59%,195.18,90.87%,30 Oct 2023,01:33
Shiretoko,916,195.18,96.96%,210.38,85.44%,02 Nov 2023,22:48
trixie,917,195.17,100.00%,195.17,92.40%,01 Apr 2021,21:41
itskuroi,918,195.17,100.00%,195.17,91.76%,08 Dec 2020,13:36
skull,919,195.17,99.20%,198.37,87.99%,28 Jun 2021,03:19
Spqrks,920,195.17,99.19%,197.57,89.63%,14 Nov 2023,22:57
Nat4Domination,921,195.16,100.00%,195.16,88.24%,07 Feb 2021,14:25
ASourMango,922,195.16,99.20%,200.76,90.37%,30 Nov 2023,17:08
installed,923,195.16,97.99%,199.16,87.60%,07 Dec 2020,15:20
amongusman9,924,195.15,100.00%,195.15,89.84%,08 Dec 2023,14:55
gleung,925,195.15,100.00%,195.15,89.84%,13 Nov 2023,00:34
zestrna,926,195.15,100.00%,195.15,87.81%,29 Jul 2021,08:55
benjwolfson,927,195.15,100.00%,195.15,81.98%,19 May 2021,16:01
seiba,928,195.12,100.00%,195.12,89.60%,06 Sep 2023,22:10
storedelk,929,195.11,100.00%,195.11,91.76%,31 Jul 2023,20:12
faxnoprinter,930,195.10,100.00%,195.10,90.10%,04 Dec 2023,22:38
Pergeun,931,195.07,100.00%,195.07,87.81%,25 Jul 2023,07:14
mggyg,932,195.07,100.00%,195.07,91.76%,31 May 2023,22:57
ctleans,933,195.07,100.00%,195.07,91.17%,13 May 2023,04:02
pandal333,934,195.07,100.00%,195.07,89.36%,08 May 2023,20:56
Jayem123,935,195.07,100.00%,195.07,90.35%,08 May 2023,01:48
Sila,936,195.07,100.00%,195.07,78.41%,21 Apr 2023,04:44
justgotpaid,937,195.07,99.59%,195.07,90.09%,21 Feb 2022,17:48
themagician,938,195.07,99.20%,199.87,88.69%,31 Oct 2022,19:45
xblacky,939,195.07,99.19%,195.07,86.49%,15 May 2023,14:48
Inferno0,940,195.07,98.80%,199.07,91.26%,20 Jun 2023,12:38
monkeyJAME,941,195.07,98.80%,199.07,91.54%,26 May 2023,16:39
startx4221,942,195.07,98.80%,199.07,91.26%,15 Mar 2023,19:23
alpha610,943,195.07,98.80%,199.07,90.98%,18 Oct 2021,14:01
imels,944,195.07,98.39%,195.07,88.55%,25 Oct 2023,02:35
bananachicken,945,195.07,98.39%,199.07,90.72%,15 Feb 2023,09:29
thai,946,195.07,97.63%,202.27,91.11%,04 Nov 2022,16:43
Flarefin,947,195.07,97.61%,199.87,86.47%,13 Dec 2022,19:46
Matt35400,948,195.07,97.25%,203.86,89.93%,04 Apr 2022,14:16
YokelMan,949,195.02,100.00%,195.02,89.13%,25 Sep 2023,10:37
anyoung,950,195.02,98.80%,199.81,91.06%,09 Sep 2023,08:26
anyoung,950,195.02,98.80%,199.81,91.06%,09 Sep 2023,08:26
j2smith3,951,195.00,100.00%,195.00,93.87%,15 Dec 2023,14:21
bctywong,952,194.94,100.00%,194.94,47.76%,24 May 2021,13:19
Byrin,953,194.94,98.80%,198.93,93.11%,10 Jan 2022,02:51
kjosep,954,194.81,100.00%,194.81,90.62%,14 Oct 2022,14:03
Revvitt,955,194.70,100.00%,194.70,87.62%,27 Nov 2021,18:17
marcusant,956,194.40,100.00%,194.40,90.12%,27 Oct 2023,19:15
tobilol,957,194.40,100.00%,194.40,88.03%,06 Mar 2023,16:31
SpoopyMan,958,194.40,100.00%,194.40,89.14%,19 Dec 2022,00:33
christiana,959,194.40,100.00%,194.40,92.13%,05 Dec 2022,18:38
Scdubby,960,194.40,100.00%,194.40,92.80%,08 Nov 2022,05:59
Knight1,961,194.40,98.80%,199.20,92.13%,01 Jun 2022,13:42
Outcalled,962,194.40,98.79%,196.80,89.87%,25 Nov 2022,08:31
penguino,963,194.40,98.79%,198.40,88.34%,07 Jul 2021,14:07
GhostyBass,964,194.40,98.42%,202.40,93.20%,03 Mar 2021,22:20
Hyukju,965,194.40,98.40%,200.00,88.90%,31 Dec 2022,17:38
gohamza,966,194.40,97.65%,204.00,85.59%,06 Dec 2022,11:44
Haim,967,194.40,97.61%,200.80,86.29%,17 Nov 2021,12:59
WhiteMyers,968,194.40,97.23%,202.40,92.86%,20 Jul 2023,22:43
puwetan,969,194.38,98.79%,198.38,88.13%,18 Oct 2023,09:10
aple,970,194.38,98.79%,198.38,85.54%,12 Oct 2023,23:45
futurisk,971,194.37,100.00%,194.37,90.12%,22 Nov 2023,02:14
marinka,972,194.37,100.00%,194.37,91.81%,29 Aug 2023,15:36
Fread,973,194.37,100.00%,194.37,88.24%,24 May 2021,09:46
MulPen,974,194.37,99.59%,195.97,88.46%,10 Nov 2020,18:09
invainn,975,194.37,98.79%,197.57,90.89%,10 Nov 2020,09:37
carbon1,976,194.36,100.00%,194.36,85.36%,11 Oct 2023,22:24
Sidders,977,194.36,100.00%,194.36,92.46%,23 Dec 2020,18:08
bluelydev,978,194.36,100.00%,194.36,91.81%,14 Nov 2020,03:20
YourAlly,979,194.36,99.59%,194.36,85.72%,19 Nov 2023,21:00
lacchu,980,194.36,98.80%,199.16,91.54%,06 Dec 2023,13:25
chipanze,981,194.35,100.00%,194.35,89.62%,04 Mar 2021,17:05
MickLuvsU,982,194.35,98.80%,199.95,89.34%,07 Dec 2023,05:22
garneet,983,194.35,98.79%,198.35,90.66%,13 Aug 2023,19:46
chickens,984,194.34,98.38%,197.53,90.37%,26 Nov 2023,00:40
Luukas61,985,194.34,97.69%,207.93,89.54%,14 Aug 2023,15:20
123SNS321,986,194.33,100.00%,194.33,87.21%,26 Oct 2023,14:52
wkevins,987,194.32,100.00%,194.32,89.87%,09 Nov 2023,20:46
dmao,988,194.32,100.00%,194.32,88.46%,01 Jan 2021,15:47
flaneur,989,194.32,98.38%,194.32,84.93%,29 Mar 2021,16:52
cybr,990,194.28,100.00%,194.28,91.81%,03 Sep 2023,20:11
jxstin,991,194.27,100.00%,194.27,89.38%,15 Jun 2023,19:50
alwaysdareforu,992,194.27,100.00%,194.27,86.63%,18 May 2023,19:41
katsuna,993,194.27,100.00%,194.27,84.35%,04 May 2023,10:57
katyen,994,194.27,100.00%,194.27,92.13%,05 Mar 2023,13:30
janklord,995,194.27,100.00%,194.27,88.91%,21 Feb 2023,14:02
cyu,996,194.27,100.00%,194.27,93.55%,13 Dec 2022,18:08
cobalt1164,997,194.27,100.00%,194.27,92.13%,13 Nov 2022,20:56
raymondtieu,998,194.27,100.00%,194.27,93.55%,19 Aug 2022,00:31
camzar,999,194.27,98.79%,198.27,91.20%,10 Aug 2022,16:05
cucumba_boi,1000,194.27,98.79%,198.27,86.96%,15 Feb 2022,23:03
cucumba_boi,1000,194.27,98.79%,198.27,86.96%,15 Feb 2022,23:03
PlayingCards,1001,194.27,98.00%,199.87,93.19%,25 Jul 2023,01:23
anarchist,1002,194.27,97.66%,204.66,90.81%,25 Jan 2022,03:13
chuck657,1003,194.27,97.61%,200.67,90.88%,18 Dec 2022,23:51
Red525,1004,194.27,97.31%,207.86,90.42%,03 Jul 2022,22:28
.w.,1005,194.27,90.88%,227.85,86.55%,10 Jul 2022,02:17
ranshi,1006,194.21,100.00%,194.21,87.41%,29 Nov 2023,00:52
prestimar,1007,194.21,98.79%,197.41,92.36%,07 Dec 2023,11:03
AS_VAL,1008,194.19,98.80%,198.98,89.97%,29 Sep 2023,13:08
timjeffery44,1009,194.14,100.00%,194.14,90.12%,10 Mar 2022,05:09
ihavenolife,1010,194.14,98.00%,199.73,91.06%,28 Sep 2022,09:19
TypistDev,1011,194.13,94.19%,194.13,-,14 Dec 2020,04:34
kingoff,1012,193.63,100.00%,193.63,91.21%,01 Jun 2022,15:45
drogbasta,1013,193.63,100.00%,193.63,90.93%,22 Dec 2021,19:25
bgenter,1014,193.60,100.00%,193.60,90.43%,31 Mar 2023,16:15
Aspecttt,1015,193.60,100.00%,193.60,89.66%,21 Mar 2023,01:50
darian,1016,193.60,100.00%,193.60,92.20%,17 Feb 2023,15:54
dashie,1017,193.60,100.00%,193.60,90.17%,05 Feb 2023,16:42
seanpoop,1018,193.60,100.00%,193.60,92.20%,24 Jan 2023,13:13
shihtea,1019,193.60,100.00%,193.60,90.98%,18 Jan 2023,20:47
marc1k,1020,193.60,100.00%,193.60,92.20%,18 Oct 2022,13:21
odus.keebs,1021,193.60,100.00%,193.60,91.27%,08 Sep 2022,12:40
GabeTypes,1022,193.60,100.00%,193.60,88.94%,20 Jul 2022,14:04
osxiv,1023,193.60,100.00%,193.60,88.94%,01 Dec 2021,23:28
fafadoodle,1024,193.60,100.00%,193.60,90.98%,25 Aug 2021,20:24
TheHardPart,1025,193.60,100.00%,193.60,88.05%,02 May 2021,17:37
nchauhan,1026,193.60,99.59%,193.60,84.85%,04 May 2023,10:24
sisforsalt,1027,193.60,99.19%,198.40,88.99%,02 Jun 2023,13:51
bigbaby88,1028,193.60,99.19%,196.80,90.35%,27 Mar 2023,11:08
dylab,1029,193.60,99.19%,193.60,83.67%,19 Nov 2021,13:05
jackn1111,1030,193.60,99.18%,193.60,54.08%,12 Oct 2021,23:27
haiimandrew,1031,193.60,98.80%,200.00,89.34%,14 Apr 2022,06:59
LunarCoffee,1032,193.60,98.79%,197.60,89.87%,10 Dec 2023,01:16
vinnychu222,1033,193.60,98.79%,197.60,90.37%,31 Dec 2022,18:00
vikpanther,1034,193.60,98.79%,197.60,86.18%,07 Oct 2022,00:15
Jolow,1035,193.60,98.79%,198.40,92.72%,21 Oct 2021,09:22
Jager,1036,193.60,98.78%,196.80,88.47%,02 Apr 2023,11:03
doki,1037,193.60,97.98%,193.60,91.17%,29 Jun 2022,11:56
VetraDebesis,1038,193.59,100.00%,193.59,74.41%,23 Apr 2021,20:46
adityaxdiwakar,1039,193.59,99.20%,199.19,89.97%,24 Sep 2023,20:55
Shiraori,1040,193.59,98.38%,197.59,86.35%,24 Sep 2023,05:05
gibbontype,1041,193.58,94.72%,211.98,89.13%,03 Aug 2023,21:49
chickenhwang,1042,193.57,100.00%,193.57,92.89%,14 Aug 2023,22:28
kyo123,1043,193.57,99.59%,196.77,88.47%,07 Nov 2023,05:35
Plasma.zip,1044,193.57,98.80%,199.17,91.26%,05 Oct 2023,22:32
jjc,1045,193.56,100.00%,193.56,92.54%,19 Nov 2023,17:25
auria4321,1046,193.56,100.00%,193.56,92.54%,16 Nov 2023,13:08
Boy_314,1047,193.56,100.00%,193.56,82.93%,15 Nov 2020,18:05
jlpt,1048,193.55,100.00%,193.55,89.42%,04 Dec 2023,15:54
tides,1049,193.55,100.00%,193.55,89.91%,27 Nov 2023,21:00
jesscapades,1050,193.55,100.00%,193.55,92.20%,11 Oct 2023,22:23
jesscapades,1050,193.55,100.00%,193.55,92.20%,11 Oct 2023,22:23
khvi,1051,193.55,99.59%,193.55,82.51%,14 Dec 2023,21:48
hydrocodone,1052,193.55,96.84%,202.35,89.88%,26 Dec 2020,20:47
yeebruh21,1053,193.55,96.81%,199.95,87.76%,29 Sep 2023,18:40
ahkiera,1054,193.54,100.00%,193.54,89.66%,22 Aug 2023,13:40
Camillama,1055,193.54,100.00%,193.54,89.18%,16 Jul 2021,15:34
SonicHomie,1056,193.53,95.52%,211.93,67.00%,22 Apr 2021,04:29
_dantheman_,1057,193.52,98.79%,197.52,88.72%,04 Nov 2023,07:10
SarcasmX,1058,193.51,100.00%,193.51,86.64%,24 Oct 2023,00:23
Mastadons,1059,193.51,99.20%,199.11,92.44%,27 Aug 2023,21:56
